Rank,Title,Employees,Sector,Industry,Hqlocation,Hqcity,Hqtel,Ceo,Revenues,Profits,Assets,Totshequity
1,Walmart,2300000,Retailing,General Merchandisers,"Bentonville, AR",Bentonville,479-273-4000,C. Douglas McMillon,485873,13643,198825,77798
2,Berkshire Hathaway,367700,Financials,Insurance: Property and Casualty (Stock),"Omaha, NE",Omaha,402-346-1400,Warren E. Buffett,223604,24074,620854,283001
3,Apple,116000,Technology,"Computers, Office Equipment","Cupertino, CA",Cupertino,408-996-1010,Timothy D. Cook,215639,45687,321686,128249
4,Exxon Mobil,72700,Energy,Petroleum Refining,"Irving, TX",Irving,972-444-1000,Darren W. Woods,205004,7840,330314,167325
5,McKesson,68000,Wholesalers,Wholesalers: Health Care,"San Francisco, CA",San Francisco,415-983-8300,John H. Hammergren,192487,2258,56563,8924
6,UnitedHealth Group,230000,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, MN",Minnetonka,952-936-1300,Stephen J. Hemsley,184840,7017,122810,38274
7,CVS Health,204000,Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, RI",Woonsocket,401-765-1500,Larry J. Merlo,177526,5317,94462,36830
8,General Motors,225000,Motor Vehicles & Parts,Motor Vehicles and Parts,"Detroit, MI",Detroit,313-556-5000,Mary T. Barra,166380,9427,221690,43836
9,AT&T,268540,Telecommunications,Telecommunications,"Dallas, TX",Dallas,210-821-4105,Randall L. Stephenson,163786,12976,403821,123135
10,Ford Motor,201000,Motor Vehicles & Parts,Motor Vehicles and Parts,"Dearborn, MI",Dearborn,313-322-3000,James P. Hackett,151800,4596,237951,29170
11,AmerisourceBergen,18500,Wholesalers,Wholesalers: Health Care,"Chesterbrook, PA",Chesterbrook,610-727-7000,Steven H. Collis,146850,1427.9,33656,2129
12,Amazon.com,341400,Technology,Internet Services and Retailing,"Seattle, WA",Seattle,206-266-1000,Jeffrey P. Bezos,135987,2371,83402,19285
13,General Electric,295000,Industrials,Industrial Machinery,"Boston, MA",Boston,617-443-3000,Jeffrey R. Immelt,126661,8831,365183,75828
14,Verizon,160900,Telecommunications,Telecommunications,"New York, NY",New York,212-395-1000,Lowell C. McAdam,125980,13127,244180,22524
15,Cardinal Health,37300,Wholesalers,Wholesalers: Health Care,"Dublin, OH",Dublin,614-757-5000,George S. Barrett,121546,1427,34122,6554
16,Costco,172000,Retailing,General Merchandisers,"Issaquah, WA",Issaquah,425-313-8100,W. Craig Jelinek,118719,2350,33163,12079
17,Walgreens Boots Alliance,300000,Food & Drug Stores,Food and Drug Stores,"Deerfield, IL",Deerfield,847-315-2500,Stefano Pessina,117351,4173,72688,29880
18,Kroger,443000,Food & Drug Stores,Food and Drug Stores,"Cincinnati, OH",Cincinnati,513-762-4000,W. Rodney McMullen,115337,1975,36505,6698
19,Chevron,55200,Energy,Petroleum Refining,"San Ramon, CA",San Ramon,925-842-1000,John S. Watson,107567,-497,260078,145556
20,Fannie Mae,7000,Financials,Diversified Financials,"Washington, DC",Washington,800-232-6643,Timothy J. Mayopoulos,107162,12313,3287968,6071
21,J.P. Morgan Chase,243355,Financials,Commercial Banks,"New York, NY",New York,212-270-6000,James Dimon,105486,24733,2490972,254190
22,Express Scripts Holding,25600,Health Care,Health Care: Pharmacy and Other Services,"St. Louis, MO",St. Louis,314-996-0900,Timothy C. Wentworth,100288,3404.4,51745,16236
23,Home Depot,406000,Retailing,Specialty Retailers: Other,"Atlanta, GA",Atlanta,770-433-8211,Craig A. Menear,94595,7957,42966,4333
24,Boeing,150540,Aerospace & Defense,Aerospace and Defense,"Chicago, IL",Chicago,312-544-2000,Dennis A. Muilenburg,94571,4895,89997,817
25,Wells Fargo,269100,Financials,Commercial Banks,"San Francisco, CA",San Francisco,866-878-5865,Timothy J. Sloan,94176,21938,1930115,199581
26,Bank of America Corp.,208024,Financials,Commercial Banks,"Charlotte, NC",Charlotte,704-386-5681,Brian T. Moynihan,93662,17906,2187702,266840
27,Alphabet,72053,Technology,Internet Services and Retailing,"Mountain View, CA",Mountain View,650-253-0000,Larry Page,90272,19478,167497,139036
28,Microsoft,114000,Technology,Computer Software,"Redmond, WA",Redmond,425-882-8080,Satya Nadella,85320,16798,193694,71997
29,Anthem,53000,Health Care,Health Care: Insurance and Managed Care,"Indianapolis, IN",Indianapolis,317-488-6000,Joseph R. Swedish,84863,2469.8,65083,25100
30,Citigroup,219000,Financials,Commercial Banks,"New York, NY",New York,212-559-1000,Michael L. Corbat,82386,14912,1792077,225120
31,Comcast,159000,Telecommunications,Telecommunications,"Philadelphia, PA",Philadelphia,215-286-1700,Brian L. Roberts,80403,8695,180500,53943
32,IBM,414400,Technology,Information Technology Services,"Armonk, NY",Armonk,914-499-1900,Virginia M. Rometty,79919,11872,117470,18246
33,State Farm Insurance Cos.,68234,Financials,Insurance: Property and Casualty (Mutual),"Bloomington, IL",Bloomington,309-766-2311,Michael L. Tipsord,76132,350.3,256030,87592
34,Phillips 66,14800,Energy,Petroleum Refining,"Houston, TX",Houston,281-293-6600,Greg C. Garland,72396,1555,51653,22390
35,Johnson & Johnson,126400,Health Care,Pharmaceuticals,"New Brunswick, NJ",New Brunswick,732-524-0400,Alex Gorsky,71890,16540,141208,70418
36,Procter & Gamble,105000,Household Products,Household and Personal Products,"Cincinnati, OH",Cincinnati,513-983-1100,David S. Taylor,71726,10508,127136,57341
37,Valero Energy,9996,Energy,Petroleum Refining,"San Antonio, TX",San Antonio,210-345-2000,Joseph W. Gorder,70166,2289,46173,20024
38,Target,323000,Retailing,General Merchandisers,"Minneapolis, MN",Minneapolis,612-304-6073,Brian C. Cornell,69495,2737,37431,10953
39,Freddie Mac,5982,Financials,Diversified Financials,"McLean, VA",McLean,703-903-2000,Donald H. Layton,65665,7815,2023376,5075
40,Lowe’s,240000,Retailing,Specialty Retailers: Other,"Mooresville, NC",Mooresville,704-758-1000,Robert A. Niblock,65017,3093,34408,6434
41,Dell Technologies,138000,Technology,"Computers, Office Equipment","Round Rock, TX",Round Rock,800-289-3355,Michael S. Dell,64806,-1672,118206,13243
42,MetLife,58000,Financials,"Insurance: Life, Health (Stock)","New York, NY",New York,212-578-2211,Steven A. Kandarian,63476,800,898764,67309
43,Aetna,49500,Health Care,Health Care: Insurance and Managed Care,"Hartford, CT",Hartford,860-273-0123,Mark T. Bertolini,63155,2271,69146,17881
44,PepsiCo,264000,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, NY",Purchase,914-253-2000,Indra K. Nooyi,62799,6329,74129,11095
45,Archer Daniels Midland,31800,"Food, Beverages & Tobacco",Food Production,"Chicago, IL",Chicago,312-634-8100,Juan R. Luciano,62346,1279,39769,17173
46,UPS,335520,Transportation,"Mail, Package, and Freight Delivery","Atlanta, GA",Atlanta,404-828-6000,David P. Abney,60906,3431,40377,405
47,Intel,106000,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",Santa Clara,408-765-8080,Brian M. Krzanich,59387,10316,113327,66226
48,Prudential Financial,49739,Financials,"Insurance: Life, Health (Stock)","Newark, NJ",Newark,973-802-6000,John R. Strangfeld,58779,4368,783962,45863
49,Albertsons Cos.,274000,Food & Drug Stores,Food and Drug Stores,"Boise, ID",Boise,208-395-6200,Robert G. Miller,58734,-502.2,23770,1613
